50,"
《浦东新区农民集中居住专项规划（2016-2020年）》（草案）
",2016-11-24
51,"
《上海浦东机场东工作区控制性详细规划B10街坊局部调整（实施深化）》（草案）
",2016-11-18
52,"
《张江技创区单元（Z00-1601）05街坊控制性详细规划（实施方案）》（草案）的补充公示
",2016-11-08
53,"
《浦东新区河道蓝线专项规划》（草案）
",2016-11-08
54,"
《上海市浦东新区康桥工业区南区PDS1-0102单元控制性详细规划A01b、A03、A03b、A03c、A03d街坊局...
",2016-11-07
55,"
《浦东新区金杨社区Y001003单元控制性详细规划02街坊局部调整（实施深化）》（草案）
",2016-11-03
56,"
《浦东新区黄浦江沿岸单元（杨浦大桥至徐浦大桥）控制性详细规划滨江街坊局部调整（实施深化）（...
",2016-11-01
57,"
《浦东新区梅园社区C000102单元10街坊控制性详细规划局部调整（实施深化）》（草案）
",2016-11-01
58,"
《上海市黄浦江沿岸E10单元E04街坊控制性详细规划局部调整（实施深化）》（草案）
",2016-10-28
59,"
《浦东新区黄浦江沿岸单元（杨浦大桥至徐浦大桥）控制性详细规划滨江街坊局部调整（实施深化）（...
",2016-10-14
60,"
《上海市黄浦江南延伸段三林滨江南片地区（Z000801单元）控制性详细规划16街坊实施深化（电力黄...
",2016-10-09
61,"
《浦东新区新场镇总体规划暨土地利用总体规划（2015-2040）》（草案）
",2016-09-30
62,"
《上海市浦东新区北蔡培花社区单元（Z000501）西片区（文化公园）街坊控制性详细规划》（草案）
",2016-09-30
63,"
《浦东新区联洋社区C000302编制单元06街坊控制性详细规划局部调整（实施深化）》（草案）
",2016-09-30
64,"
《浦东新区民乐大型居住社区（PDS3-0201单元）控制性详细规划修编》（草案）
",2016-09-30
65,"
《上海高桥历史文化名镇保护规划》（草案）
",2016-09-29
66,"
《浦东新区东沟楔形绿地（Y00-0502单元）控制性详细规划A11街坊局部调整（实施深化）》（草案）
",2016-09-23
67,"
《上海市浦东新区北蔡社区Z000502编制单元控制性详细规划1-07街坊局部调整实施深化》（补充公示...
",2016-09-14
68,"
《浦东新区三林外环外地区生态专项规划》（草案）（补充公示）
",2016-09-08
69,"
《上海市浦东新区张江中试产业区Z00-1801编制单元控制性详细规划1、3街坊局部调整实施深化》（草...
",2016-09-07
70,"
《浦东新区黄浦江沿岸单元（杨浦大桥-徐浦大桥）控制性详细规划滨江街坊局部调整（实施深化）（...
",2016-09-02
71,"
《上海市浦东新区康桥工业区南区PDS1-0102单元控制性详细规划A01b、A03、A03b、A03c、A03d街坊局...
",2016-08-31
72,"
《浦东新区北蔡培花社区Z000501单元（白杨路以东地区）控制性详细规划（龙阳路交通枢纽地区中片...
",2016-08-25
73,"
《上海市浦东新区轨交18号线航头停车场地块综合利用控制性详细规划》（草案）
",2016-08-25
74,"
《浦东新区三林外环地区生态专项规划》（草案）
",2016-08-25
75,"
《2040上海市城市总体规划（2016-2040）》（草案）
",2016-08-22
76,"
《上海市浦东新区新场镇16号线核心单元PDS2-0101控制性详细规划》（草案）
",2016-08-15
77,"
《上海川沙新镇历史文化名镇保护规划》（草案）
",2016-08-11
78,"
《上海市浦东新区祝桥镇江镇社区单元（PDS6-0201）控制性详细规划B6街坊局部调整（实施深化）》...
",2016-08-11
79,"
《上海市浦东新区张江中试产业区Z00-1801编制单元控制性详细规划1、3街坊局部调整实施深化》
",2016-08-08
80,"
《上海市浦东新区张江南区Z00-2001单元（申江路以西地区）控制性详细规划C1街坊局部调整（实施深...
",2016-08-05
81,"
《浦东新区北蔡培花社区Z000501单元控制性详细规划05街坊局部调整（实施深化）》（草案）
",2016-08-02
82,"
《上海市浦东新区沔青村传统村落保护和发展规划》（草案）
",2016-08-02
83,"
《上海市浦东新区曹路集镇PDP0-0304单元控制性详细规划A2、A3街坊局部调整（实施方案）》（草案...
",2016-07-28
84,"
《外高桥港区六期PDP0-0204单元控制性详细规划局部调整（实施深化）》（补充）
",2016-07-20
85,"
《浦东新区川沙新镇六灶社区崇溪路道路红线专项规划》（草案）
",2016-07-04
86,"
《上海市浦东新区机场镇产业带控制性详细规划A1、E2A街坊局部调整（实施方案）》（草案）
",2016-06-20
87,"
《外高桥港区六期PDP0-0204单元控制性详细规划局部调整（实施深化）》
",2016-06-07
88,"
《浦东新区六里社区Z000402编制单元控制性详细规划08街坊局部调整》（草案）
",2016-05-27
